step,time_ns,rg_A,end_to_end_A,lead_z_A,tail_z_A,dna_COM_z_A,lead_radius_A,lead_above_cis_CA_plane_A,c1_below_trans_CA_plane,minimum_DNA_protein_heavy_A,contact_pairs_3p5A,contacting_DNA_residues_3p5A,contacting_protein_atoms_3p5A,stacked_adjacent_pairs_ring_centers,dna_max_bond_A,nearest_DNA_image_A
250000,0.25,29.157684330094092,62.89552328099161,85.09544417085502,147.52449032858672,116.05046763574548,2.386428533129249,8.422819902838995,0,2.7410092551337017,12,2,8,11,1.657426424777849,107.85482291186018
275000,0.27499999999999997,29.187340094121883,63.161149070054584,83.84124411517425,146.6373370936298,115.82052041953399,1.8570377057810792,7.168619847158226,0,2.521074088095256,7,3,6,11,1.6606686825982777,105.68340206596721
300000,0.3,29.286213874483597,63.83226787049649,84.60502473008782,147.95011844187258,115.96787334711641,2.570101114273133,7.932400462071797,0,2.6366137267748377,14,3,9,11,1.6546725294260936,105.86944488813413
325000,0.325,29.803225144973357,64.86940536839495,83.89793096866745,148.34786807384697,116.25384717682974,1.9676470497757856,7.22530670065143,0,2.592651758432931,8,2,6,13,1.6514345923613334,106.37477507918958
350000,0.35,29.977291719360075,66.48285605195792,84.2259123318718,150.41230716886628,116.71534432399075,2.390975581002842,7.553288063855774,0,2.603245109255426,10,3,5,12,1.6487799145659119,106.76189513734403
375000,0.375,29.904618391924558,67.73824773630312,82.96925102030553,150.32963842079147,116.33100789930141,3.255101736030305,6.296626752289512,0,2.901483056227705,5,2,3,10,1.6574562069458265,106.81807857068917
400000,0.39999999999999997,29.643174012306236,65.96575540927209,84.341148825648,149.99152188275616,116.0002254124202,4.489212515844035,7.668524557631983,0,2.675717417615243,7,3,5,12,1.6555229912667564,107.03819633306694
425000,0.425,29.621157844693396,66.4248831836019,83.53275096232049,149.7823058360216,116.23918836580631,4.002976191551519,6.860126694304469,0,2.5550050401194944,4,2,4,12,1.6307661368543847,107.97325792097728
450000,0.44999999999999996,29.75031099273947,66.03605582092229,83.60846912532148,149.347417151138,116.45169752008826,5.065251459153923,6.9358448573054545,0,2.8526279642082852,9,3,7,12,1.6473521147164956,107.69853084741595
475000,0.475,29.96957369236047,67.11658995310157,83.44580854061499,150.3902940174131,116.81336932858548,5.362403930144456,6.773184272598968,0,2.8780352501518816,3,2,3,12,1.6908880395326913,108.24701679353386
500000,0.5,29.731112607932403,65.30504629733389,83.52670669501646,148.67309387336104,116.53696870412107,3.361671874865058,6.854082427000435,0,2.7371863626761677,6,3,6,7,1.6422059381701022,107.75165042688114
525000,0.525,29.837569751959368,66.22428985043862,82.87583386296973,148.91535101382237,116.32115453117066,3.2987997166758247,6.203209594953705,0,2.7485534128670817,8,2,6,10,1.6359092393308108,105.72276249689031
550000,0.5499999999999999,30.009303774262783,65.55632567847611,82.31395388788457,147.74240548817465,115.88200473623903,3.45042760005705,5.641329619868543,0,2.6141819290415804,8,3,6,10,1.6414533392118549,104.68496929259561
575000,0.575,29.66512256658945,64.70917370590675,83.29456156759525,147.95117536707343,115.85640476578008,4.063881821749219,6.62193729957923,0,2.7657932042814317,10,2,7,10,1.65628255998155,106.51974353527476
600000,0.6,29.16254936627897,62.759924057301895,84.32486288043306,147.01613209014326,115.62236842886755,4.583233128431783,7.652238612417037,0,2.7700398490205718,8,2,6,9,1.6670185720299195,106.80063278979644
625000,0.625,29.421913948241727,62.07122647663732,84.39523990503493,146.23829017646696,115.801424555789,4.608975210867415,7.7226156370189045,0,2.7834452924248474,6,3,4,7,1.674054630057003,107.43377316174266
650000,0.65,29.331928822725654,62.42481459641804,84.33364397516365,146.57872778668025,115.88681010740794,4.4253257867872176,7.661019707147631,0,2.753537451830905,11,3,7,9,1.6340998896634114,106.19312974005099
675000,0.6749999999999999,29.330997364953426,61.81280864034253,85.25213566465874,146.91486327154846,116.44918132097388,4.845587092970641,8.579511396642715,0,2.859176686944466,3,2,3,10,1.6295358142113021,106.68216700875121
700000,0.7,29.40637480977411,61.336453846837955,84.88450521076587,146.14007893365152,116.24709601225769,3.4342534135232463,8.211880942749843,0,2.677054411455581,7,2,5,9,1.6495929942256728,106.51210906466028
725000,0.725,29.19181542506226,62.11712663894126,84.44369673526253,146.45491728842984,116.11332270599536,4.361794702629841,7.771072467246512,0,2.711034083730921,7,3,6,12,1.653968136358704,104.39402078327437
750000,0.75,29.366209339267662,63.29218084103038,83.24545816495962,146.48014587692404,116.02304018732342,3.28781697113653,6.572833896943592,0,2.741479749707264,9,3,8,11,1.653298457850078,105.75355895027529
775000,0.7749999999999999,29.323767463001584,62.182624296291515,84.08674241757396,146.15920833652822,116.44225942634284,4.577428221529471,7.414118149557936,0,2.5427896278335673,9,3,6,10,1.649737044823313,104.3048781559074
800000,0.7999999999999999,29.374798945884415,63.95426008632725,83.63401852446515,147.54365190908078,116.46640805561054,3.9531667507807438,6.961394256449125,0,2.683938730031206,5,2,4,11,1.6466501172458183,104.14884747976643
825000,0.825,29.303182234154438,63.221055517209386,85.18464616553089,148.34685140143998,116.6098386013666,2.885707809257763,8.51202189751487,0,2.770534093508734,7,3,4,12,1.6484331917670374,106.2879682490616
