sequence,window_time_ns,source_time_ns,rg_A,end_to_end_A,c1_contour_A,extension_fraction,shape_anisotropy,adjacent_stacks,nonadjacent_stacks,unstacked_neighbor_fraction,unstacked_any_fraction,syn_fraction,outward_projection_mean,nonlocal_contact_pairs,base_base_hbonds,all_interresidue_hbonds,max_DNA_bond_A
dA40,3.11,48.11,25.00309,50.21182,265.66721,0.1890027,0.54894225,11,4,0.525,0.425,0.85,0.27570754,30,2,5,1.6693785
dA40,3.12,48.12,25.445217,51.385247,266.7642,0.19262422,0.55485094,11,4,0.5,0.35,0.7,0.24647452,31,0,4,1.641467
dA40,3.13,48.13,25.267504,52.02173,263.66611,0.19730155,0.56793545,11,4,0.525,0.4,0.675,0.25184723,30,6,12,1.643646
dA40,3.14,48.14,25.234562,51.245257,262.42032,0.1952793,0.56503438,11,3,0.55,0.425,0.675,0.26302054,31,4,9,1.6358691
dA40,3.15,48.15,25.085609,51.064068,263.34541,0.19390529,0.5756607,10,4,0.6,0.475,0.65,0.25423638,32,4,9,1.6355084
dA40,3.16,48.16,24.796734,50.583429,265.91024,0.19022746,0.57127102,11,4,0.55,0.4,0.675,0.25800288,29,6,8,1.6422596
dA40,3.17,48.17,24.807586,51.434756,262.87583,0.1956618,0.56055838,14,4,0.475,0.375,0.7,0.23413763,31,5,8,1.6475628
dA40,3.18,48.18,24.803647,50.780532,264.67007,0.19186352,0.56549373,13,4,0.45,0.4,0.65,0.24376682,28,3,7,1.6278387
dA40,3.19,48.19,24.951667,51.880111,262.48915,0.19764669,0.56976406,11,5,0.525,0.375,0.6,0.25127434,28,4,8,1.6489468
dA40,3.2,48.2,25.207807,52.859854,262.12909,0.20165581,0.57579368,10,4,0.55,0.475,0.6,0.2642505,28,4,8,1.6382595
dA40,3.21,48.21,25.317502,52.618458,266.15555,0.19769815,0.57106751,12,4,0.525,0.45,0.65,0.26820479,28,3,7,1.6497352
dA40,3.22,48.22,25.461582,53.558822,263.85363,0.20298687,0.58276091,11,4,0.525,0.425,0.75,0.23093762,28,3,7,1.6681164
dA40,3.23,48.23,25.138847,53.855573,265.06023,0.20318239,0.56942217,10,4,0.575,0.425,0.675,0.24064135,29,3,7,1.648575
dA40,3.24,48.24,25.478297,55.025846,264.08488,0.20836424,0.58704943,12,5,0.5,0.375,0.725,0.23125903,31,4,6,1.6573123
dA40,3.25,48.25,25.158507,52.955478,263.91304,0.20065503,0.57974289,12,4,0.5,0.4,0.7,0.22482898,32,1,3,1.6529392
dA40,3.26,48.26,25.209764,53.532971,262.83268,0.203677,0.58245206,10,4,0.575,0.425,0.725,0.23225197,32,3,7,1.6841643
dA40,3.27,48.27,24.929862,53.842696,262.855,0.20483801,0.57582254,11,4,0.5,0.4,0.65,0.2377489,31,2,6,1.6668186
dA40,3.28,48.28,24.892465,54.036832,264.36832,0.2043998,0.55225415,11,4,0.525,0.4,0.625,0.22184569,31,1,4,1.651388
dA40,3.29,48.29,24.952144,54.014192,264.00692,0.20459385,0.55716354,13,4,0.5,0.375,0.65,0.22808458,32,1,2,1.6285377
dA40,3.3,48.3,25.107718,54.071257,264.96169,0.20407198,0.55596787,10,4,0.6,0.45,0.725,0.22736849,28,5,7,1.6767817
dA40,3.31,48.31,25.298281,54.264964,266.54292,0.20358809,0.55027311,9,5,0.625,0.4,0.65,0.23730742,28,3,6,1.6586719
