sequence,rg_A_mean,rg_A_sd,end_to_end_A_mean,end_to_end_A_sd,c1_contour_A_mean,c1_contour_A_sd,extension_fraction_mean,extension_fraction_sd,shape_anisotropy_mean,shape_anisotropy_sd,adjacent_stacks_mean,adjacent_stacks_sd,nonadjacent_stacks_mean,nonadjacent_stacks_sd,unstacked_neighbor_fraction_mean,unstacked_neighbor_fraction_sd,unstacked_any_fraction_mean,unstacked_any_fraction_sd,syn_fraction_mean,syn_fraction_sd,outward_projection_mean_mean,outward_projection_mean_sd,nonlocal_contact_pairs_mean,nonlocal_contact_pairs_sd,base_base_hbonds_mean,base_base_hbonds_sd,all_interresidue_hbonds_mean,all_interresidue_hbonds_sd,K_within_3p5A_mean,K_within_3p5A_sd,Cl_within_3p5A_mean,Cl_within_3p5A_sd,waterO_within_3p5A_mean,waterO_within_3p5A_sd,K_box_molar_mean,K_box_molar_sd,Cl_box_molar_mean,Cl_box_molar_sd
dA40,25.128301,0.80141818,53.573126,2.6594837,264.89687,2.4918325,0.20225746,0.010168712,0.53724613,0.033564589,11.838,1.8260408,3.992,0.76492236,0.50895,0.063614,0.3703,0.065010482,0.64825,0.061161007,0.2211367,0.039095242,30.194,1.7985643,3.892,1.344601,7.856,1.7289426,36.352941,4.5730669,4.8039216,2.4740219,473.72549,11.290843,3.3084739,0.0040573234,3.230604,0.0039618281
dT40,27.31758,1.0539152,70.833206,4.3791895,293.71719,3.1239573,0.24114653,0.014487782,0.70891421,0.038558716,4.008,0.74903813,6.404,0.96677469,0.84075,0.029663907,0.43645,0.060248712,0.27775,0.061958577,0.0035175473,0.03399753,29.064,2.0029797,0.782,0.43226115,4.494,1.2462223,29.666667,3.7558843,4.2941176,2.0228111,465.05882,10.547818,3.2781809,0.0015754479,3.2661898,0.0015696851
