sequence,rg_A_mean,rg_A_sd,end_to_end_A_mean,end_to_end_A_sd,c1_contour_A_mean,c1_contour_A_sd,extension_fraction_mean,extension_fraction_sd,shape_anisotropy_mean,shape_anisotropy_sd,adjacent_stacks_mean,adjacent_stacks_sd,nonadjacent_stacks_mean,nonadjacent_stacks_sd,unstacked_neighbor_fraction_mean,unstacked_neighbor_fraction_sd,unstacked_any_fraction_mean,unstacked_any_fraction_sd,syn_fraction_mean,syn_fraction_sd,outward_projection_mean_mean,outward_projection_mean_sd,nonlocal_contact_pairs_mean,nonlocal_contact_pairs_sd,base_base_hbonds_mean,base_base_hbonds_sd,all_interresidue_hbonds_mean,all_interresidue_hbonds_sd,K_within_3p5A_mean,K_within_3p5A_sd,Cl_within_3p5A_mean,Cl_within_3p5A_sd,waterO_within_3p5A_mean,waterO_within_3p5A_sd,K_box_molar_mean,K_box_molar_sd,Cl_box_molar_mean,Cl_box_molar_sd
dA40,33.762685,1.4066759,76.88885,5.190198,249.41762,2.6553452,0.30835572,0.021805149,0.84758171,0.028870792,15.552,1.842304,1.292,0.54711486,0.3639,0.066318068,0.2924,0.062189026,0.5809,0.072201913,0.039345234,0.078504608,18.488,2.420242,3.016,1.1235072,6.494,1.7630032,33.411765,4.5483029,4.5686275,2.2649936,493.2549,14.469061,3.3085031,0.0037818779,3.2306325,0.0036928657
dT40,27.31758,1.0539152,70.833206,4.3791895,293.71719,3.1239573,0.24114653,0.014487782,0.70891421,0.038558716,4.008,0.74903813,6.404,0.96677469,0.84075,0.029663907,0.43645,0.060248712,0.27775,0.061958577,0.0035175473,0.03399753,29.064,2.0029797,0.782,0.43226115,4.494,1.2462223,29.666667,3.7558843,4.2941176,2.0228111,465.05882,10.547818,3.2781809,0.0015754479,3.2661898,0.0015696851
