sequence,window_time_ns,source_time_ns,rg_A,end_to_end_A,c1_contour_A,extension_fraction,shape_anisotropy,adjacent_stacks,nonadjacent_stacks,unstacked_neighbor_fraction,unstacked_any_fraction,syn_fraction,outward_projection_mean,nonlocal_contact_pairs,base_base_hbonds,all_interresidue_hbonds,max_DNA_bond_A
dT40,1.62,1.62,25.920705,62.285788,295.13596,0.211041,0.64536064,3,5,0.875,0.55,0.175,0.081872158,29,0,6,1.6507324
dT40,1.63,1.63,25.822623,63.268082,293.37343,0.21565716,0.65572741,3,6,0.875,0.475,0.225,0.047911541,30,1,5,1.667057
dT40,1.64,1.64,25.734749,63.093906,295.57128,0.21346426,0.66557955,3,7,0.875,0.425,0.275,0.035582082,30,1,7,1.6645794
dT40,1.65,1.65,25.462205,63.25525,295.27619,0.21422401,0.674454,2,6,0.9,0.525,0.25,0.035983819,30,0,6,1.6870638
dT40,1.66,1.66,25.452655,63.036375,296.94667,0.21228181,0.66950567,3,8,0.875,0.4,0.25,0.030542745,31,1,6,1.6563209
dT40,1.67,1.67,25.144779,61.352196,294.69908,0.20818591,0.65020268,3,7,0.875,0.5,0.25,0.01884312,35,0,5,1.6441956
dT40,1.68,1.68,25.232271,61.272402,292.60778,0.20940114,0.66431436,3,7,0.875,0.45,0.175,0.00066010913,33,1,6,1.6770248
dT40,1.69,1.69,25.062481,61.267724,293.99754,0.20839537,0.66457917,4,6,0.85,0.45,0.35,-0.006771235,33,1,7,1.6461444
dT40,1.7,1.7,25.26767,61.2995,290.44387,0.21105455,0.66345148,4,5,0.85,0.525,0.25,-0.0060756963,32,1,6,1.6556366
dT40,1.71,1.71,25.233173,62.553874,289.68536,0.2159373,0.66934733,5,6,0.8,0.4,0.2,0.020927844,30,1,6,1.6370172
dT40,1.72,1.72,25.321206,63.319604,291.58259,0.21715838,0.67300534,5,7,0.8,0.35,0.225,-0.0024343487,30,1,5,1.6407948
