step,time_ns,rg_A,end_to_end_A,lead_z_A,tail_z_A,dna_COM_z_A,lead_radius_A,lead_above_cis_CA_plane_A,c1_below_trans_CA_plane,minimum_DNA_protein_heavy_A,contact_pairs_3p5A,contacting_DNA_residues_3p5A,contacting_protein_atoms_3p5A,stacked_adjacent_pairs_ring_centers,dna_max_bond_A,nearest_DNA_image_A
250000,0.25,25.4318162987572,50.34457802746302,93.12152418164827,142.2337692133127,114.65296835499163,2.4074261390340514,11.62264447107043,0,3.0120182249887737,6,3,5,11,1.6823044825919204,133.56533573211695
275000,0.27499999999999997,25.472721970518215,50.69363178015932,91.52407563960693,141.04768088735065,114.206619087961,2.1942489559103335,10.025195929029096,0,2.8840381433136004,3,2,3,11,1.6413388707081642,132.45551848127533
300000,0.3,25.26215967342344,50.96020009142284,91.46760349828553,140.71056850981438,114.01148955298672,2.762303384098443,9.968723787707688,0,2.992625846491563,3,2,3,11,1.6555328019493403,130.9946548509341
325000,0.325,25.292756502985167,51.21877769163044,91.36006517551456,141.089603284568,113.97602249372265,3.3686797761992904,9.861185464936725,0,3.024235898411234,4,2,3,9,1.6376505810134259,130.23631970451794
350000,0.35,25.257213385750465,50.076644784350634,91.71466112453287,140.31960218009806,113.87874203980385,3.626216128752993,10.215781413955028,0,2.732253256522756,9,3,5,10,1.6346498590140766,130.01556775281708
375000,0.375,24.623403687646285,49.07406739518202,92.91238212100242,140.37631201030376,113.74456823452422,3.161012579504812,11.413502410424584,0,2.9732870348472256,3,2,3,9,1.6502497874208448,130.03806229642953
400000,0.39999999999999997,24.86815103140937,49.04982555571274,92.85194026729036,140.4377236805915,113.8015302553992,3.2128395707445008,11.35306055671252,0,2.9433511202197455,5,3,4,8,1.6469136053431221,131.10001609568278
425000,0.425,24.854090129017834,48.015281626469786,92.4501519784454,139.03753483068988,114.15251148764091,2.940098330051932,10.951272267867566,0,2.899091285788703,4,2,3,12,1.649338502425512,130.24978729327054
450000,0.44999999999999996,24.22970559671942,46.400997164685066,93.07646262543606,138.08991427326762,113.76081398864935,3.1172103506901094,11.577582914858226,0,2.8189191795413784,2,2,2,10,1.6512804965351515,129.92170899456676
475000,0.475,24.296900247382865,46.50832290206936,93.71858869581676,138.60821058188841,113.69813256312374,4.290971982956,12.219708985238924,0,3.0829337081943744,3,1,1,10,1.642124228276759,129.91058184898475
500000,0.5,24.552532267599638,47.65494796715621,92.3857920780634,138.26644130184854,113.10576725382693,4.5645271590636405,10.886912367485564,0,3.152486435750896,2,1,1,10,1.6432697286738864,128.8048947842825
525000,0.525,24.6674720761796,48.54383454600041,91.79307930858056,138.89416551163936,113.14258938519701,3.8175977848023095,10.29419959800272,0,3.1885165945087635,1,1,1,10,1.6684434343027763,129.8008776377984
550000,0.5499999999999999,24.740941250345053,49.83229705146997,90.80798584749252,138.95718080292295,112.92137417884292,3.490064913704821,9.309106136914679,0,2.979169016978369,6,2,3,9,1.6563905746746865,129.73853576146658
575000,0.575,24.660395885707636,48.4135213150533,91.6814660997787,138.12692887115335,112.99331564810672,3.920850416813584,10.182586389200864,0,2.8562895467526483,4,2,2,9,1.6402996832703365,130.86611987206388
600000,0.6,24.64843801872198,49.211256854474634,90.5966313036505,137.9857974802286,112.72604248973536,3.4638533761302335,9.097751593072658,0,2.929142575086334,5,2,3,12,1.6435736794171387,128.80784468765083
625000,0.625,24.410843680195676,48.0062814236421,91.3781114677164,137.30760655747127,112.37932173663617,3.1660148010147022,9.879231757138555,0,3.0344968310112046,11,2,4,10,1.6487547332457284,131.81118438541978
650000,0.65,24.2781357214257,47.749802153310775,90.87195249980762,136.79069984949092,112.59438707447971,2.6024418752886707,9.37307278922978,0,3.0538169852840875,3,2,3,12,1.6473904365409235,131.15395154865757
675000,0.6749999999999999,24.37234373734041,47.22423755453583,90.94814577841184,136.25345078015198,112.1295750431007,3.2716364994401452,9.449266067834003,0,3.202340778382133,6,2,4,11,1.6371969253918792,129.24100144210237
700000,0.7,24.459019427827794,49.421661007478,89.43742193613787,136.63281138494105,112.40108700701416,3.4914176819151215,7.9385422255600275,0,2.956755498444214,4,2,2,12,1.6354632017166222,128.92010634580603
725000,0.725,24.367606821070833,49.499502355115645,89.68809854555147,136.7491605050916,112.74580175190697,3.4614695566121783,8.18921883497363,0,3.0001328424660922,7,2,3,11,1.6451933410714519,129.86103888697394
750000,0.75,24.345286086870885,48.442237822658086,90.81755452687563,137.90233012207733,113.17721370942476,2.265382867370436,9.318674816297786,0,3.095363083980323,5,2,3,11,1.667054695088695,127.98674957441511
775000,0.7749999999999999,24.32348745319151,49.14802097007549,90.80488358425254,138.46695476506522,113.04440072528222,1.494974500819294,9.306003873674698,0,3.0205788775570293,6,1,3,11,1.6449385781182626,131.2529477750697
800000,0.7999999999999999,24.1496432021947,49.08321554510786,91.46456661443253,138.76697418235693,113.27894688694825,1.4729041871192652,9.965686903854689,0,3.006968650304256,1,1,1,12,1.6662119087581808,132.21501640940434
825000,0.825,24.13633938151007,50.16482266582341,89.1983545061801,138.15331209415234,112.33858729839757,1.9663495566199594,7.6994747956022564,0,2.8781132506125884,6,2,2,13,1.6461833688568255,130.4978459424051
850000,0.85,24.00990087201158,49.49465795040066,90.15707156471632,138.43311560629775,112.40869999916545,1.751329369590949,8.65819185413848,0,3.051152792142655,3,2,2,14,1.6690793251210787,131.46390460240684
875000,0.875,24.10604571908385,49.044298780628125,89.19688913144262,136.83096550246597,111.93667815253106,1.4227175250798592,7.6980094208647785,0,3.046766369669567,10,2,6,11,1.6520822222303713,130.3500051367543
900000,0.8999999999999999,24.085875162781495,50.043014900182925,89.15170503778401,137.9235467796753,112.63733007426688,0.5473932359986416,7.652825327206173,0,2.890223114953453,3,2,3,12,1.641022387882263,131.69369127054364
925000,0.9249999999999999,24.17180741835294,49.08386479579896,89.48590298694677,137.3308033383426,112.50648971532851,1.2256799198134727,7.98702327636893,0,2.785399129617377,8,2,5,12,1.6383157100901353,133.2771277665423
950000,0.95,23.98843366274582,48.45305696498783,90.5992493138514,137.62535359175837,112.52581759084492,2.323813188848162,9.100369603273563,0,3.132518001125565,6,3,5,13,1.6503720372697908,131.41015425970272
975000,0.975,24.13749617246032,48.30160342625175,91.63255661153147,138.3002030250243,113.14896946169438,1.7023616530334649,10.133676900953631,0,2.884251905039415,4,1,4,14,1.666037300484141,132.8698191244022
1000000,1.0,24.10062894952671,48.983808139415856,90.8518856749813,137.80171326413543,112.80259946910635,2.6904075355009174,9.353005964403465,0,3.0766371513636193,6,2,4,11,1.679741415574764,131.28823675420566
1025000,1.025,23.97715208106243,48.688204761190505,90.82908451016972,137.4793234381333,113.03151375578094,2.157828915113341,9.330204799591883,0,3.014849228972057,5,2,5,12,1.6303779761468908,130.633004419393
1050000,1.05,23.869336997363245,47.953013397476575,92.27216285624354,138.06877548430654,113.4186663861513,2.86442049403693,10.773283145665701,0,2.8728835097989607,9,2,4,9,1.6404014969866698,131.25312253856833
1075000,1.075,24.212818639108573,48.69258388286827,91.53950988217704,138.43798627269814,113.35511932043264,2.610939088253284,10.040630171599204,0,2.842936068770725,9,3,6,8,1.6445746448308813,129.9136211555273
1100000,1.0999999999999999,24.15573640131836,48.09565420112635,92.42425757966448,138.9961283284165,113.74872785986803,2.4688230767907826,10.925377869086645,0,2.8455845443973518,7,3,5,8,1.6940599781626295,128.94682372592618
1125000,1.125,23.874760232753435,46.91996410940343,92.10392947898549,137.51510012642188,113.36468880017154,1.6584593968831283,10.605049768407653,0,2.7311986836130484,6,3,5,10,1.6429909866801677,127.33618483155438
1150000,1.15,24.056774079760572,48.512302010056544,91.81223109986274,138.54027883765383,113.78445425692651,1.5981880080154718,10.313351389284904,0,3.128694721980746,3,2,3,10,1.6389582969220116,128.72672937508645
1175000,1.175,24.417073803282715,48.97834062043506,91.0805815244115,138.85394689620347,113.64588805282318,2.6846309543752414,9.58170181383366,0,2.822622464828937,3,3,2,12,1.6530271483324135,127.74334844489124
1200000,1.2,24.187853940606516,48.09245487629388,90.76650688884962,137.68972760012485,113.0630435112587,1.534103774208818,9.26762717827178,0,2.5903561687385572,10,3,7,10,1.6501489158499036,128.3675673300731
1225000,1.2249999999999999,23.86245937388482,46.139369806212926,91.71896427851419,136.8464442996373,112.72674533166162,2.921759949652717,10.220084567936354,0,2.886098005818422,9,3,6,12,1.6350915976447196,127.25549763161152
1250000,1.25,24.352814428471074,47.93824968006406,90.63006194001846,137.68864795779064,113.12681258170738,2.447004452789188,9.131182229440626,0,2.779712140590609,10,3,7,12,1.6339528208226715,128.7866688806967
1275000,1.275,24.206414407987157,47.59210570813137,91.07640002267289,137.89430087922392,112.84699390848176,2.539869829371509,9.577520312095047,0,2.8422781735609033,6,2,4,9,1.6280480922769045,125.44127139525999
1300000,1.3,24.094869434460744,49.48371893999769,89.61254059664996,138.36513602197593,112.49329464980183,2.5335305770793757,8.113660886072125,0,2.7433314309673045,6,2,3,10,1.6482973956041782,125.42796016750512
1325000,1.325,24.01104760135495,48.89197559962908,90.28111760344457,138.56310324667183,112.73685521416095,2.7118380294204134,8.782237892866732,0,2.6789787356436143,6,2,3,13,1.6339711645857093,126.67426149872975
1350000,1.3499999999999999,24.20098441564002,49.27384938878657,89.73280221803995,138.73838554149359,112.9336334285812,3.584202511886651,8.233922507462111,0,2.7550327471497598,4,2,3,15,1.6453223419777965,126.72061384677664
1375000,1.375,24.274874086578823,49.49632484163368,90.04900582165897,139.25417314409106,113.3162510202011,3.86190381599199,8.550126111081127,0,2.612570011907272,4,2,4,14,1.6401808793541297,125.16225997611055
1400000,1.4,24.243799514004536,49.511620086960825,90.20022555313918,139.4045681870827,113.57520535165565,3.6155890418027723,8.701345842561338,0,2.6952976243301667,5,2,4,12,1.6785974102535388,126.92689552523011
1425000,1.425,24.401763458681202,49.404151573588514,90.33558030892308,139.52281551381776,113.60994584113507,4.3221403388158315,8.836700598345246,0,2.604416619874774,6,3,5,13,1.6525384612009009,128.26251670126055
1450000,1.45,24.169193157581777,48.63726987726718,90.57609086498823,138.76974560567092,113.40395980832777,3.723974237586922,9.077211154410392,0,2.5635287031316363,6,2,3,11,1.692414170646677,125.65496686343545
1475000,1.4749999999999999,24.13997297243035,49.48636053726627,89.93455398473583,139.03769297813142,113.19644632390253,4.256008377225674,8.43567427415799,0,2.7795752751637273,4,1,2,11,1.6610393558874044,126.03075956142123
1500000,1.5,24.234450879280228,50.52758590734541,88.3371990351597,138.63013512184392,112.79379371292485,4.033214434352837,6.83831932458186,0,2.795455443816307,9,2,4,10,1.6642581499127322,125.07680339697504
1525000,1.525,24.13745749501348,50.05308662342637,88.91059325324053,138.75125270070598,112.87181498245653,3.8075057071826133,7.411713542662696,0,2.845238601791178,6,2,4,11,1.6725171546648434,126.19740517416922
1550000,1.5499999999999998,24.45906338877087,52.02987111292698,87.10656108081716,138.89979140528754,112.19301083472311,3.6612366500124995,5.60768137023932,0,2.8130001505296094,4,1,2,10,1.6513083751885518,125.68524208942691
1575000,1.575,24.34585575952315,50.73894235766302,88.17501948167276,138.6776414552054,112.85380760111012,3.7311795807338353,6.676139771094924,0,2.6045440050238957,5,1,3,13,1.661717189942194,128.29959060022247
1600000,1.5999999999999999,24.418900595631932,51.97466699745798,86.83643568655222,138.5071065806667,112.70260434776823,4.5476373068458,5.337555975974382,0,2.563358302187845,5,1,3,12,1.638787828162134,127.39009792130679
1625000,1.625,24.579318602347065,52.28182080263757,86.43202933435495,138.435399000903,112.34628529338863,3.6812683981397383,4.933149623777112,0,2.5777299942598155,5,3,4,14,1.6522134980867749,124.92945805665683
1650000,1.65,24.329030329516595,50.20940427309527,87.6374214726481,137.53563394395144,112.3099859450281,3.7251539384222463,6.138541762070261,0,2.6875720536782386,12,4,10,10,1.6398946620725592,126.40989490696003
1675000,1.6749999999999998,24.12442744677269,49.50165893100751,87.38706577805175,136.441967541831,112.14845677645668,4.045345531960912,5.88818606747391,0,2.6327004372805987,7,3,7,12,1.6594411911500082,124.93823147658895
1700000,1.7,24.1448975421244,50.32538273360928,87.55789269574178,137.52265649541147,112.44920784939579,4.576395497152949,6.059012985163946,0,2.6817131045229257,13,3,9,11,1.6484856438786615,125.5733568226995
1725000,1.7249999999999999,24.372767173950024,50.70879248417958,86.96304144580435,137.2388008809853,112.4989597450497,4.547676871539493,5.4641617352265115,0,2.739466792482742,14,3,10,14,1.6461896316689262,126.39277567632494
1750000,1.75,24.10296691104587,50.39361320421728,86.92985327420357,136.50802590089467,112.42995386453394,4.795646340109508,5.430973563625727,0,2.601751476946811,11,4,10,12,1.65309658792656,126.0686631037334
1775000,1.775,23.91289671560914,48.51584440462791,88.83797030296614,136.41465580630262,112.83006875223246,5.284704297248319,7.3390905923883025,0,2.5109685297667297,9,3,8,13,1.6341147795197477,125.06186962498782
1800000,1.7999999999999998,24.170298572021892,50.63281736980166,87.31679567659563,137.27303889396757,113.12810814089534,4.820995208082222,5.817915966017793,0,2.5656449729390642,9,3,7,15,1.684821024783383,126.24094337755972
1825000,1.825,24.490496057673138,50.210876196351606,87.8328948122766,137.53012857488955,113.15289329636404,4.12479240984761,6.334015101698768,0,2.612775180563333,12,3,8,11,1.6483451248857057,125.92068764108463
1850000,1.8499999999999999,24.40442631344556,49.558786338239464,88.58509257330215,137.45982220139032,113.65839150452545,5.214146077914753,7.0862128627243095,0,2.6241358476735175,10,3,9,12,1.6435023065427774,125.73428974324493
1875000,1.875,24.624034610484433,49.882044617712666,88.75249188081713,138.07916757483218,113.91057175529969,5.638359863092586,7.253612170239293,0,2.787757276248094,13,4,9,13,1.6589995882275295,127.36210414168981
